case,subcase_id,subcase,method,GP_method,RMISE,coverage,CI_width,rmw2,rmw2_emp,n_expected,n_read,fit_fail,pred_fail,CI_fail,OOM,Timeout,unknown_missing,mean_time_total,mean_time_fit,max_time_fit,oracle_RMISE,rel_RMISE,rel_rmw2_emp_bound
2re,4,"d=500, n_i=2",AdaStruMM,FPC,1.4921409124290501,0.97829,1.5036713456519937,0.21820176716418138,0.19563960158628635,2,2,0,0,0,0,0,0,4.961116666666666,0.11895833333333333,0.16973333333333335,1.376061895590627,1.0843559560877167,1.1153251458035915
2re,4,"d=500, n_i=2",Di-95,Empirical,39.691702931632214,0,0,10.75471549817645,0.2129954249301537,2,2,0.5,0,0,0,0,0,0.3121666666666667,0.21399999999999997,0.28624999999999995,1.376061895590627,28.8444168527724,50.492706600168425
2re,4,"d=500, n_i=2",Di-99,NA,NA,NA,NA,NA,NA,2,2,1,0,0,0,0,0,0.19645833333333335,0.12955000000000003,0.12955000000000003,1.376061895590627,NA,NA
2re,4,"d=500, n_i=2",Di-Oracle,Empirical,70.92951540552666,0,0,21.85230929755218,0.19563960158628635,2,2,0,0,0,0,0,0,0.41339166666666666,0.2858166666666667,0.2859166666666667,1.376061895590627,51.545294316199794,111.6967583268885
2re,4,"d=500, n_i=2",FACE-95,FPC,3.060896546446812,0.9719599999999999,4.608194863804515,0.8257263768851488,0.19563960158628635,2,2,0,0,0,0,0,0,0.48468333333333335,0.20758333333333334,0.20804999999999998,1.376061895590627,2.2243887111873177,4.220650472552533
2re,4,"d=500, n_i=2",FACE-99,FPC,3.060896546446812,0.9719599999999999,4.608194863804515,0.8988933243264331,0.19563960158628635,2,2,0,0,0,0,0,0,0.8622416666666668,0.30263333333333337,0.30268333333333336,1.376061895590627,2.2243887111873177,4.594638902543351
2re,4,"d=500, n_i=2",Goldsmith-95,NA,NA,NA,NA,NA,NA,2,0,0,0,0,1,0,0,NA,NA,NA,1.376061895590627,NA,NA
2re,4,"d=500, n_i=2",Goldsmith-99,NA,NA,NA,NA,NA,NA,2,0,0,0,0,1,0,0,NA,NA,NA,1.376061895590627,NA,NA
2re,4,"d=500, n_i=2",HGAM-GS,Empirical,4.822850246251471,0.74927,2.67182392200632,0.9375065247870497,0.19563960158628635,2,2,0,0,0,0,0,0,13.129983333333334,11.96565,14.5721,1.376061895590627,3.50482072187707,4.792007943103303
2re,4,"d=500, n_i=2",Local-GAM,NA,NA,NA,NA,NA,NA,2,2,1,0,0,0,0,0,0.07593333333333332,7.333333333333265e-4,7.499999999999988e-4,1.376061895590627,NA,NA
2re,4,"d=500, n_i=2",Oracle-GP,Individual,1.376061895590627,0.93813,1.0329676085118584,NA,0.19563960158628635,2,2,0,0,0,0,0,0,0.098075,2.5000000000000946e-5,3.333333333334447e-5,1.376061895590627,1,NA
