case,subcase_id,n_clusters,n_obs_per_cluster,method,n_expected,n_read,n_missing,n_oom,n_timeout,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_k_fail,n_ci_fail,prop_oom,prop_timeout,prop_unknown_missing,prop_sim_fail,prop_fit_fail,prop_pred_fail,prop_gp_fail,prop_k_fail,prop_ci_fail,mean_time_total,mean_time_fit,max_time_total,max_time_fit
3re,17,400,2,PACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4582938333333333,0.10279749999999861,3.1171833333333336,0.2687833333333335
3re,17,400,2,bayesFPCA,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.007256666666667,3.861653666666667,24.466316666666664,24.227699999999995
3re,18,400,3,AdaStruMM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.317144666666667,0.11405033333333364,3.435716666666667,0.1952833333333274
3re,18,400,3,FACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44937483333333345,0.17683549999999962,0.5794333333333346,0.2512333333333269
3re,18,400,3,HGAM-GS,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.561903833333336,15.976650000000001,27.16826666666667,25.199516666666668
3re,18,400,3,Local-GAM,100,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.5336755000000003,0.424394166666666,0.5840166666666543,0.465633333333335
3re,18,400,3,Oracle-GP,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05906733333333318,1.1833333333394573e-5,0.07993333333333794,1.6666666670062114e-5
3re,18,400,3,PACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7881835000000001,0.2603738333333328,2.329383333333347,0.4761333333333217
3re,18,400,3,bayesFPCA,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.352846166666667,4.237698166666667,82.1009,81.98963333333332
3re,19,400,5,AdaStruMM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3817576666666676,0.14329150000000024,3.4988666666666783,0.24891666666665818
3re,19,400,5,FACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40375533333333297,0.15350783333333337,0.4322500000000067,0.16946666666666868
3re,19,400,5,HGAM-GS,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.794293833333334,17.2656835,24.682533333333353,22.882016666666672
3re,19,400,5,Local-GAM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2279363333333325,0.1211870000000005,0.2801833333333434,0.14604999999999865
3re,19,400,5,Oracle-GP,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06066550000000033,1.2333333333250115e-5,0.07074999999999818,1.6666666670062114e-5
3re,19,400,5,PACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9840893333333316,1.1925316666666677,4.545283333333333,2.15775
3re,19,400,5,bayesFPCA,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.093296499999999,4.983454833333334,106.01793333333333,105.87455
3re,20,400,10,AdaStruMM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.553305833333332,0.2986661666666668,3.6975333333333387,0.46096666666667263
3re,20,400,10,FACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4174706666666669,0.16235083333333314,0.44926666666666126,0.17886666666666617
3re,20,400,10,HGAM-GS,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.156096,21.83926266666667,37.370583333333336,35.08448333333333
3re,20,400,10,Local-GAM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21893933333333349,0.11043283333333291,0.24043333333333977,0.1258166666666663
3re,20,400,10,Oracle-GP,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061357999999999566,1.266666666629135e-5,0.09408333333333303,1.6666666670062114e-5
3re,20,400,10,PACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.003706333333334,6.103039333333333,24.685816666666664,19.403183333333335
3re,20,400,10,bayesFPCA,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.790575166666665,6.665484166666669,85.05448333333334,84.63225000000003
3re,21,500,2,AdaStruMM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.173830499999999,0.12297466666666573,4.382016666666668,0.22721666666666732
3re,21,500,2,FACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57179,0.2223486666666663,0.6723833333333308,0.28518333333333507
3re,21,500,2,HGAM-GS,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.674983166666667,20.383382,47.597899999999996,44.13821666666666
3re,21,500,2,Oracle-GP,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06700916666666666,1.316666666663006e-5,0.08116666666666675,1.6666666668167332e-5
3re,21,500,2,PACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4263868333333334,0.13524783333333157,3.376516666666642,0.3763333333333333
3re,21,500,2,bayesFPCA,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.364647166666667,3.2339631666666664,15.870650000000005,15.701599999999996
