case,subcase_id,method,n_trials,n_read,n_complete,n_oom,n_timeout,n_resource_fail,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_k_fail,n_ci_fail,n_nonresource_incomplete,n_successful_fits,prop_complete,prop_resource_fail,mean_fit_time,median_fit_time,sd_fit_time,max_fit_time,max_to_median_fit_time,mean_total_time_observed,max_total_time_observed,mean_total_time_complete,max_total_time_complete,fit_cutoff_minutes,fit_time_exempt,decision_stage,decision,decision_reason
2re,6,bayesFPCA,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1.15545,0.1859333333333333,1.8388606415462208,4.390366666666667,23.612585155969885,1.2211933333333334,4.449983333333334,1.2211933333333334,4.449983333333334,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,7,AdaStruMM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.02393666666666666,0.02313333333333333,0.00541845355141933,0.02999999999999998,1.2968299711815554,0.8521733333333333,0.8622833333333334,0.8521733333333333,0.8622833333333334,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,7,FACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.03381999999999999,0.0305,0.00462267058455752,0.03893333333333334,1.2765027322404372,0.12831666666666666,0.1375666666666667,0.12831666666666666,0.1375666666666667,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,7,HGAM-GS,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.08893333333333334,0.09048333333333332,0.0117796139816021,0.10236666666666666,1.131331736968134,0.15891666666666668,0.17021666666666666,0.15891666666666668,0.17021666666666666,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,7,Local-GAM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.03055333333333333,0.02866666666666667,0.00323473766753625,0.035066666666666677,1.2232558139534886,0.0983,0.10391666666666668,0.0983,0.10391666666666668,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,7,Oracle-GP,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2.666666666666373e-5,1.6666666666657428e-5,1.4907119850005232e-5,5.000000000000189e-5,3.0000000000017764,0.05990333333333334,0.06144999999999999,0.05990333333333334,0.06144999999999999,30,TRUE,initial,include,All runs completed; method exempt from the fitting-time cutoff
2re,7,PACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.07170666666666667,0.07086666666666668,0.00583710116410534,0.08146666666666666,1.1495766698024457,0.20909000000000005,0.22588333333333335,0.20909000000000005,0.22588333333333335,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,7,bayesFPCA,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,4.484043333333333,0.84885,8.211117437290264,19.116466666666668,22.5204296008325,4.548139999999999,19.179599999999997,4.548139999999999,19.179599999999997,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,8,AdaStruMM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.03722333333333334,0.03646666666666667,0.00177433868744887,0.04003333333333335,1.097806215722121,0.8538366666666667,0.8584833333333334,0.8538366666666667,0.8584833333333334,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,8,FACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.03865000000000001,0.04261666666666667,0.00567148079820821,0.04311666666666666,1.0117324990222916,0.14828333333333332,0.16303333333333334,0.14828333333333332,0.16303333333333334,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,8,HGAM-GS,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.25206666666666666,0.2790833333333333,0.06885796774682086,0.2938,1.0527321588533891,0.33220666666666665,0.3712666666666667,0.33220666666666665,0.3712666666666667,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,8,Local-GAM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.02639333333333333,0.02648333333333331,4.471514781865819e-4,0.02701666666666667,1.0201384518565146,0.09752666666666666,0.0985,0.09752666666666666,0.0985,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,8,Oracle-GP,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,3.33333333333267e-5,3.3333333333314856e-5,1.1785113019779728e-5,5.000000000000189e-5,1.5000000000008882,0.06436333333333333,0.06571666666666666,0.06436333333333333,0.06571666666666666,30,TRUE,initial,include,All runs completed; method exempt from the fitting-time cutoff
