case,subcase_id,method,n_trials,n_read,n_complete,n_oom,n_timeout,n_resource_fail,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_k_fail,n_ci_fail,n_nonresource_incomplete,n_successful_fits,prop_complete,prop_resource_fail,mean_fit_time,median_fit_time,sd_fit_time,max_fit_time,max_to_median_fit_time,mean_total_time_observed,max_total_time_observed,mean_total_time_complete,max_total_time_complete,decision,n_full_seeds,projected_total_hours,projected_total_hours_buffered,suggested_walltime_minutes
sitar,9,AdaStruMM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.07508,0.06963333333333335,0.012418072627335429,0.09401666666666664,1.3501675442795589,1.8873766666666667,2.1838166666666665,1.8873766666666667,2.1838166666666665,include,100,3.145627777777778,3.9320347222222223,2.7297708333333333
sitar,9,FACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.06496999999999997,0.06271666666666663,0.008662526254569806,0.07978333333333332,1.2721233058729742,0.49974,0.5693166666666667,0.49974,0.5693166666666667,include,100,0.8329000000000001,1.041125,0.7116458333333333
sitar,9,HGAM-GS,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1.31142,1.1668333333333332,0.3257653376196498,1.6636,1.4257391801171262,1.7065700000000001,2.0849166666666665,1.7065700000000001,2.0849166666666665,include,100,2.8442833333333337,3.555354166666667,2.606145833333333
sitar,9,Oracle-SITAR,5,5,5,0,0,0,0,0,0,0,0,5,0,0,5,1,0,9.545796666666668,9.642066666666667,0.24262003712939043,9.714050000000002,1.0074655502623922,15.442433333333335,15.549283333333335,15.442433333333335,15.549283333333335,include,100,25.737388888888894,32.171736111111116,19.43660416666667
sitar,9,PACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.024056666666666674,0.01881666666666669,0.009614518824268978,0.04083333333333338,2.170062001771479,0.9310633333333335,2.273416666666667,0.9310633333333335,2.273416666666667,include,100,1.5517722222222226,1.9397152777777782,2.8417708333333334
sitar,10,AdaStruMM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.11978000000000007,0.11516666666666672,0.031155732039046816,0.17158333333333337,1.489869753979739,2.0775966666666665,2.1237166666666667,2.0775966666666665,2.1237166666666667,include,100,3.4626611111111107,4.328326388888889,2.6546458333333334
sitar,10,FACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.08792333333333334,0.09298333333333335,0.007511968228544801,0.09408333333333338,1.0118300770747448,0.65492,0.6692,0.65492,0.6692,include,100,1.0915333333333332,1.3644166666666666,0.8365
sitar,10,HGAM-GS,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1.6549433333333332,1.7809833333333331,0.4255466385851392,1.9846666666666666,1.1143656594203577,2.1514800000000003,2.44995,2.1514800000000003,2.44995,include,100,3.5858000000000003,4.4822500000000005,3.0624374999999997
sitar,10,Local-GAM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.20007333333333333,0.19165000000000004,0.0245611696699395,0.24316666666666667,1.2688059831289675,0.54722666666666675,0.6032000000000001,0.54722666666666675,0.6032000000000001,include,100,0.9120444444444445,1.1400555555555556,0.7540000000000001
sitar,10,Oracle-SITAR,5,5,5,0,0,0,0,0,0,0,0,5,0,0,5,1,0,8.43471,8.338083333333335,0.42961633636562563,9.149700000000001,1.097338517045284,15.259603333333333,15.464033333333333,15.259603333333333,15.464033333333333,include,100,25.43267222222222,31.790840277777775,19.330041666666666
sitar,10,PACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.05054000000000002,0.04936666666666666,0.0032016835848936776,0.056233333333333316,1.1390952059419308,0.7108833333333333,0.7345666666666666,0.7108833333333333,0.7345666666666666,include,100,1.1848055555555557,1.4810069444444447,0.9182083333333333
sitar,11,AdaStruMM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.27040000000000003,0.27796666666666664,0.021011303174984418,0.2912,1.0476076268137668,2.04734,2.1024833333333333,2.04734,2.1024833333333333,include,100,3.4122333333333335,4.265291666666667,2.6281041666666667
