case,subcase_id,method,metric,estimate,lower,upper,n_available,n_expected,n_read,n_missing,n_oom,n_timeout,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_k_fail,n_ci_fail,prop_oom,prop_timeout,prop_unknown_missing,prop_sim_fail,prop_fit_fail,prop_pred_fail,prop_gp_fail,prop_k_fail,prop_ci_fail,mean_time_total,mean_time_fit,max_time_total,max_time_fit,n_clusters,n_obs_per_cluster,subcase_label,prop_metric_missing,show_metric,method_label
2re,9,AdaStruMM,time,0.027300666666666504,0.02607281481818059,0.02852851851515242,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.590626166666667,0.027300666666666504,1.62816666666666,0.05851666666665854,200,2,"d=200, n_i=2",0,TRUE,AdaStruMM
2re,9,FACE,RMISE,7.226800818780341,3.7895401119877388,9.49171669869494,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1807105,0.06361866666666727,0.20739999999999933,0.07705000000000836,200,2,"d=200, n_i=2",0,TRUE,FACE
2re,9,FACE,ci_width,4.181229014633653,3.890175240799898,4.472282788467407,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1807105,0.06361866666666727,0.20739999999999933,0.07705000000000836,200,2,"d=200, n_i=2",0,TRUE,FACE
2re,9,FACE,coverage,0.842456,0.805173030627132,0.879738969372868,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1807105,0.06361866666666727,0.20739999999999933,0.07705000000000836,200,2,"d=200, n_i=2",0,TRUE,FACE
2re,9,FACE,rmw2,1.0851756851547227,1.0150082405721121,1.1510737625681289,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1807105,0.06361866666666727,0.20739999999999933,0.07705000000000836,200,2,"d=200, n_i=2",0,TRUE,FACE
2re,9,FACE,time,0.06361866666666727,0.06237479375661137,0.06486253957672317,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1807105,0.06361866666666727,0.20739999999999933,0.07705000000000836,200,2,"d=200, n_i=2",0,TRUE,FACE
2re,9,HGAM-GS,RMISE,5.078969829830134,4.999521958394855,5.157193931992199,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2357828333333332,1.0729921666666669,5.04955,4.446666666666667,200,2,"d=200, n_i=2",0,TRUE,HGAM-GS
2re,9,HGAM-GS,ci_width,2.5319126860433934,2.4206981587332224,2.6431272133535644,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2357828333333332,1.0729921666666669,5.04955,4.446666666666667,200,2,"d=200, n_i=2",0,TRUE,HGAM-GS
2re,9,HGAM-GS,coverage,0.709114,0.6930635252658454,0.7251644747341547,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2357828333333332,1.0729921666666669,5.04955,4.446666666666667,200,2,"d=200, n_i=2",0,TRUE,HGAM-GS
2re,9,HGAM-GS,rmw2,1.0632985827334602,1.0408976336395297,1.0852372405928568,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2357828333333332,1.0729921666666669,5.04955,4.446666666666667,200,2,"d=200, n_i=2",0,TRUE,HGAM-GS
