case,subcase_id,method,seed,n_successful_trials,median_time,max_time,allowed_time,process_id,run_order,run_id,original_process_id,original_run_order
sitar,23,HGAM-GS,93,5,9.744916666666667,11.557349999999998,14.446687499999998,135,1,sitar__subcase-023__HGAM-GS__seed-93,104,15
sitar,23,HGAM-GS,96,5,9.744916666666667,11.557349999999998,14.446687499999998,136,1,sitar__subcase-023__HGAM-GS__seed-96,104,16
sitar,15,HGAM-GS,99,5,3.182533333333333,3.5707999999999998,4.4635,137,1,sitar__subcase-015__HGAM-GS__seed-99,104,17
sitar,10,HGAM-GS,67,5,2.2645166666666667,2.44995,3.0624374999999997,138,1,sitar__subcase-010__HGAM-GS__seed-67,104,18
sitar,6,HGAM-GS,83,5,0.7250666666666666,0.7365999999999999,0.92075,139,1,sitar__subcase-006__HGAM-GS__seed-83,104,19
sitar,23,HGAM-GS,38,5,9.744916666666667,11.557349999999998,14.446687499999998,140,1,sitar__subcase-023__HGAM-GS__seed-38,105,5
sitar,23,HGAM-GS,39,5,9.744916666666667,11.557349999999998,14.446687499999998,141,1,sitar__subcase-023__HGAM-GS__seed-39,105,6
sitar,23,HGAM-GS,41,5,9.744916666666667,11.557349999999998,14.446687499999998,142,1,sitar__subcase-023__HGAM-GS__seed-41,105,7
sitar,23,HGAM-GS,58,5,9.744916666666667,11.557349999999998,14.446687499999998,143,1,sitar__subcase-023__HGAM-GS__seed-58,105,8
sitar,23,HGAM-GS,59,5,9.744916666666667,11.557349999999998,14.446687499999998,144,1,sitar__subcase-023__HGAM-GS__seed-59,105,9
sitar,23,HGAM-GS,68,5,9.744916666666667,11.557349999999998,14.446687499999998,145,1,sitar__subcase-023__HGAM-GS__seed-68,105,10
sitar,23,HGAM-GS,69,5,9.744916666666667,11.557349999999998,14.446687499999998,146,1,sitar__subcase-023__HGAM-GS__seed-69,105,11
sitar,23,HGAM-GS,70,5,9.744916666666667,11.557349999999998,14.446687499999998,147,1,sitar__subcase-023__HGAM-GS__seed-70,105,12
sitar,23,HGAM-GS,78,5,9.744916666666667,11.557349999999998,14.446687499999998,148,1,sitar__subcase-023__HGAM-GS__seed-78,105,13
sitar,23,HGAM-GS,87,5,9.744916666666667,11.557349999999998,14.446687499999998,149,1,sitar__subcase-023__HGAM-GS__seed-87,105,14
sitar,23,HGAM-GS,88,5,9.744916666666667,11.557349999999998,14.446687499999998,150,1,sitar__subcase-023__HGAM-GS__seed-88,105,15
sitar,23,HGAM-GS,89,5,9.744916666666667,11.557349999999998,14.446687499999998,151,1,sitar__subcase-023__HGAM-GS__seed-89,105,16
sitar,15,HGAM-GS,87,5,3.182533333333333,3.5707999999999998,4.4635,152,1,sitar__subcase-015__HGAM-GS__seed-87,105,17
sitar,10,HGAM-GS,59,5,2.2645166666666667,2.44995,3.0624374999999997,153,1,sitar__subcase-010__HGAM-GS__seed-59,105,18
sitar,6,HGAM-GS,19,5,0.7250666666666666,0.7365999999999999,0.92075,154,1,sitar__subcase-006__HGAM-GS__seed-19,105,19
sitar,23,HGAM-GS,61,5,9.744916666666667,11.557349999999998,14.446687499999998,155,1,sitar__subcase-023__HGAM-GS__seed-61,106,12
sitar,23,HGAM-GS,64,5,9.744916666666667,11.557349999999998,14.446687499999998,156,1,sitar__subcase-023__HGAM-GS__seed-64,106,13
sitar,23,HGAM-GS,80,5,9.744916666666667,11.557349999999998,14.446687499999998,157,1,sitar__subcase-023__HGAM-GS__seed-80,106,14
sitar,23,HGAM-GS,86,5,9.744916666666667,11.557349999999998,14.446687499999998,158,1,sitar__subcase-023__HGAM-GS__seed-86,106,15
sitar,23,HGAM-GS,97,5,9.744916666666667,11.557349999999998,14.446687499999998,159,1,sitar__subcase-023__HGAM-GS__seed-97,106,16
sitar,15,HGAM-GS,16,5,3.182533333333333,3.5707999999999998,4.4635,160,1,sitar__subcase-015__HGAM-GS__seed-16,106,17
sitar,10,HGAM-GS,88,5,2.2645166666666667,2.44995,3.0624374999999997,161,1,sitar__subcase-010__HGAM-GS__seed-88,106,18
sitar,6,HGAM-GS,10,5,0.7250666666666666,0.7365999999999999,0.92075,162,1,sitar__subcase-006__HGAM-GS__seed-10,106,19
sitar,23,HGAM-GS,12,5,9.744916666666667,11.557349999999998,14.446687499999998,163,1,sitar__subcase-023__HGAM-GS__seed-12,107,3
sitar,23,HGAM-GS,13,5,9.744916666666667,11.557349999999998,14.446687499999998,164,1,sitar__subcase-023__HGAM-GS__seed-13,107,4
sitar,23,HGAM-GS,18,5,9.744916666666667,11.557349999999998,14.446687499999998,165,1,sitar__subcase-023__HGAM-GS__seed-18,107,5
sitar,23,HGAM-GS,20,5,9.744916666666667,11.557349999999998,14.446687499999998,166,1,sitar__subcase-023__HGAM-GS__seed-20,107,6
sitar,23,HGAM-GS,26,5,9.744916666666667,11.557349999999998,14.446687499999998,167,1,sitar__subcase-023__HGAM-GS__seed-26,107,7
sitar,23,HGAM-GS,52,5,9.744916666666667,11.557349999999998,14.446687499999998,168,1,sitar__subcase-023__HGAM-GS__seed-52,107,8
sitar,23,HGAM-GS,63,5,9.744916666666667,11.557349999999998,14.446687499999998,169,1,sitar__subcase-023__HGAM-GS__seed-63,107,9
sitar,23,HGAM-GS,71,5,9.744916666666667,11.557349999999998,14.446687499999998,170,1,sitar__subcase-023__HGAM-GS__seed-71,107,10
sitar,23,HGAM-GS,73,5,9.744916666666667,11.557349999999998,14.446687499999998,171,1,sitar__subcase-023__HGAM-GS__seed-73,107,11
sitar,23,HGAM-GS,81,5,9.744916666666667,11.557349999999998,14.446687499999998,172,1,sitar__subcase-023__HGAM-GS__seed-81,107,12
sitar,23,HGAM-GS,83,5,9.744916666666667,11.557349999999998,14.446687499999998,173,1,sitar__subcase-023__HGAM-GS__seed-83,107,13
sitar,23,HGAM-GS,84,5,9.744916666666667,11.557349999999998,14.446687499999998,174,1,sitar__subcase-023__HGAM-GS__seed-84,107,14
sitar,23,HGAM-GS,90,5,9.744916666666667,11.557349999999998,14.446687499999998,175,1,sitar__subcase-023__HGAM-GS__seed-90,107,15
sitar,23,HGAM-GS,100,5,9.744916666666667,11.557349999999998,14.446687499999998,176,1,sitar__subcase-023__HGAM-GS__seed-100,107,16
sitar,15,HGAM-GS,20,5,3.182533333333333,3.5707999999999998,4.4635,177,1,sitar__subcase-015__HGAM-GS__seed-20,107,17
sitar,10,HGAM-GS,45,5,2.2645166666666667,2.44995,3.0624374999999997,178,1,sitar__subcase-010__HGAM-GS__seed-45,107,18
sitar,6,HGAM-GS,44,5,0.7250666666666666,0.7365999999999999,0.92075,179,1,sitar__subcase-006__HGAM-GS__seed-44,107,19
sitar,23,HGAM-GS,23,5,9.744916666666667,11.557349999999998,14.446687499999998,180,1,sitar__subcase-023__HGAM-GS__seed-23,108,2
sitar,23,HGAM-GS,29,5,9.744916666666667,11.557349999999998,14.446687499999998,181,1,sitar__subcase-023__HGAM-GS__seed-29,108,3
sitar,23,HGAM-GS,30,5,9.744916666666667,11.557349999999998,14.446687499999998,182,1,sitar__subcase-023__HGAM-GS__seed-30,108,4
sitar,23,HGAM-GS,33,5,9.744916666666667,11.557349999999998,14.446687499999998,183,1,sitar__subcase-023__HGAM-GS__seed-33,108,5
sitar,23,HGAM-GS,36,5,9.744916666666667,11.557349999999998,14.446687499999998,184,1,sitar__subcase-023__HGAM-GS__seed-36,108,6
sitar,23,HGAM-GS,44,5,9.744916666666667,11.557349999999998,14.446687499999998,185,1,sitar__subcase-023__HGAM-GS__seed-44,108,7
sitar,23,HGAM-GS,53,5,9.744916666666667,11.557349999999998,14.446687499999998,186,1,sitar__subcase-023__HGAM-GS__seed-53,108,8
sitar,23,HGAM-GS,55,5,9.744916666666667,11.557349999999998,14.446687499999998,187,1,sitar__subcase-023__HGAM-GS__seed-55,108,9
sitar,23,HGAM-GS,65,5,9.744916666666667,11.557349999999998,14.446687499999998,188,1,sitar__subcase-023__HGAM-GS__seed-65,108,10
sitar,23,HGAM-GS,67,5,9.744916666666667,11.557349999999998,14.446687499999998,189,1,sitar__subcase-023__HGAM-GS__seed-67,108,11
sitar,23,HGAM-GS,72,5,9.744916666666667,11.557349999999998,14.446687499999998,190,1,sitar__subcase-023__HGAM-GS__seed-72,108,12
sitar,23,HGAM-GS,75,5,9.744916666666667,11.557349999999998,14.446687499999998,191,1,sitar__subcase-023__HGAM-GS__seed-75,108,13
