case,quantity,metric,n_obs_per_cluster,n_clusters,comparison_method,comparison_estimate,adastrumm_estimate,numerator,denominator,numerator_estimate,denominator_estimate,value,oracle_estimate
sitar,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,2,50,FACE,11.221059762020353,9.103677049586455,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,11.221059762020353,9.103677049586455,1.2325854378292211,NA
sitar,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,2,100,FACE,11.290847927544325,9.05771635926911,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,11.290847927544325,9.05771635926911,1.2465446564784473,NA
sitar,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,2,200,HGAM-GS,8.213887495551118,9.005694495176973,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,8.213887495551118,9.005694495176973,0.9120770752272453,NA
sitar,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,2,300,HGAM-GS,7.968307169323549,8.502454953846247,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,7.968307169323549,8.502454953846247,0.937177228527266,NA
sitar,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,2,400,HGAM-GS,7.985019332419427,8.454150051610723,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,7.985019332419427,8.454150051610723,0.9445088250944973,NA
sitar,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,2,500,HGAM-GS,7.856984927543472,8.629623965241603,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,7.856984927543472,8.629623965241603,0.910466662184799,NA
sitar,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,3,50,PACE,5.740873252304228,5.760447216840793,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,5.740873252304228,5.760447216840793,0.9966020060943636,NA
sitar,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,3,100,PACE,5.2943252440843045,5.316608040938679,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,5.2943252440843045,5.316608040938679,0.995808832119503,NA
sitar,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,3,200,PACE,5.264520019857611,5.370627586851915,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,5.264520019857611,5.370627586851915,0.9802429855210829,NA
sitar,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,3,300,PACE,5.169095734796131,5.26559387146892,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,5.169095734796131,5.26559387146892,0.9816738360328824,NA
sitar,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,3,400,PACE,5.092581045271107,5.216045144566363,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,5.092581045271107,5.216045144566363,0.9763299404293173,NA
sitar,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,3,500,PACE,4.999224016022411,5.254254759006386,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,4.999224016022411,5.254254759006386,0.951462052245026,NA
sitar,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,5,50,PACE,3.5696129373502927,2.0061482304271845,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,3.5696129373502927,2.0061482304271845,1.7793365830151981,NA
sitar,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,5,100,PACE,3.25214051137048,1.8280404222662336,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,3.25214051137048,1.8280404222662336,1.7790309622031115,NA
sitar,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,5,200,PACE,3.3770583772926597,1.7886678873199382,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,3.3770583772926597,1.7886678873199382,1.8880298579926407,NA
sitar,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,5,300,PACE,3.5947265874445042,1.7772359992268405,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,3.5947265874445042,1.7772359992268405,2.0226501089378877,NA
sitar,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,5,400,PACE,3.665758147776042,1.7440948793146673,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,3.665758147776042,1.7440948793146673,2.101811198033264,NA
sitar,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,5,500,FACE,3.6578093519313044,1.7479781690195535,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,3.6578093519313044,1.7479781690195535,2.0925944137980745,NA
sitar,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,10,50,Local-GAM,0.4312850487052484,1.1771392534888336,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,0.4312850487052484,1.1771392534888336,0.3663840513575564,NA
sitar,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,10,100,Local-GAM,0.41831819187239044,1.1300767578133943,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,0.41831819187239044,1.1300767578133943,0.3701679456551268,NA
sitar,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,10,200,Local-GAM,0.41939466232951844,1.1075819786511611,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,0.41939466232951844,1.1075819786511611,0.37865789658321,NA
sitar,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,10,300,Local-GAM,0.419093470391116,1.0983281624955001,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,0.419093470391116,1.0983281624955001,0.38157400010475745,NA
sitar,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,10,400,Local-GAM,0.42553495271067704,1.0912268480412275,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,0.42553495271067704,1.0912268480412275,0.38996012009282965,NA
sitar,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,10,500,Local-GAM,0.4228933115297746,1.0923072311156719,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,0.4228933115297746,1.0923072311156719,0.3871560120478517,NA
sitar,AdaStruMM CI width / oracle CI width,ci_width,2,50,Oracle,NA,9.103677049586455,AdaStruMM CI width,oracle CI width,9.103677049586455,2.9809873996029363,3.053913294232325,2.9809873996029363
sitar,AdaStruMM CI width / oracle CI width,ci_width,2,100,Oracle,NA,9.05771635926911,AdaStruMM CI width,oracle CI width,9.05771635926911,2.995389014838759,3.023886484993564,2.995389014838759
sitar,AdaStruMM CI width / oracle CI width,ci_width,2,200,Oracle,NA,9.005694495176973,AdaStruMM CI width,oracle CI width,9.005694495176973,2.9849599357760717,3.0170235745008576,2.9849599357760717
sitar,AdaStruMM CI width / oracle CI width,ci_width,2,300,Oracle,NA,8.502454953846247,AdaStruMM CI width,oracle CI width,8.502454953846247,2.992919487689954,2.840856557891825,2.992919487689954
sitar,AdaStruMM CI width / oracle CI width,ci_width,2,400,Oracle,NA,8.454150051610723,AdaStruMM CI width,oracle CI width,8.454150051610723,2.9976662472912494,2.8202439345107417,2.9976662472912494
sitar,AdaStruMM CI width / oracle CI width,ci_width,2,500,Oracle,NA,8.629623965241603,AdaStruMM CI width,oracle CI width,8.629623965241603,2.990491433038949,2.8856875729191254,2.990491433038949
sitar,AdaStruMM CI width / oracle CI width,ci_width,3,50,Oracle,NA,5.760447216840793,AdaStruMM CI width,oracle CI width,5.760447216840793,1.707103583804564,3.37439817448141,1.707103583804564
sitar,AdaStruMM CI width / oracle CI width,ci_width,3,100,Oracle,NA,5.316608040938679,AdaStruMM CI width,oracle CI width,5.316608040938679,1.7024642949921243,3.12288959984519,1.7024642949921243
sitar,AdaStruMM CI width / oracle CI width,ci_width,3,200,Oracle,NA,5.370627586851915,AdaStruMM CI width,oracle CI width,5.370627586851915,1.7071421724004665,3.145975580522451,1.7071421724004665
sitar,AdaStruMM CI width / oracle CI width,ci_width,3,300,Oracle,NA,5.26559387146892,AdaStruMM CI width,oracle CI width,5.26559387146892,1.7039763956308231,3.0901800547064284,1.7039763956308231
