case,subcase_id,method,n_expected,n_read,n_missing,n_oom,n_timeout,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_k_fail,n_ci_fail,prop_oom,prop_timeout,prop_unknown_missing,prop_sim_fail,prop_fit_fail,prop_pred_fail,prop_gp_fail,prop_k_fail,prop_ci_fail,mean_time_total,mean_time_fit,max_time_total,max_time_fit,n_clusters,n_obs_per_cluster,subcase_label
sitar,8,Local-GAM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31779233333333295,0.037900333333333265,0.34951666666666675,0.05311666666667255,100,10,"d=100, n_i=10"
sitar,8,Oracle-SITAR,100,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,7.127670166666666,4.147766833333333,7.4761,4.299016666666671,100,10,"d=100, n_i=10"
sitar,8,PACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6243755,0.3391928333333331,0.6616000000000061,0.3649166666666664,100,10,"d=100, n_i=10"
sitar,8,SITAR,100,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0.24680816666666677,0.035437666666666395,0.8454000000000027,0.633433333333331,100,10,"d=100, n_i=10"
sitar,9,AdaStruMM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8676165,0.0757521666666671,3.5362833333333317,0.19009999999999916,200,2,"d=200, n_i=2"
sitar,9,FACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6486540000000006,0.12360566666666735,0.8790500000000065,0.24368333333333492,200,2,"d=200, n_i=2"
sitar,9,HGAM-GS,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7638843333333334,2.1948023333333344,19.494066666666672,18.851983333333344,200,2,"d=200, n_i=2"
sitar,9,Oracle-SITAR,100,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,13.389765166666667,7.812804333333333,16.2443,10.254566666666667,200,2,"d=200, n_i=2"
sitar,9,PACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4774296666666671,0.014751666666666628,0.64265,0.02283333333333335,200,2,"d=200, n_i=2"
sitar,9,SITAR,100,100,0,0,0,0,0,77,0,0,0,23,0,0,0,0,0.77,0,0,0,0.23,0.5961240000000002,0.38093400000000033,1.4953166666666675,1.2793666666666772,200,2,"d=200, n_i=2"
sitar,10,AdaStruMM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9157350000000004,0.12567166666666674,2.0771333333333337,0.20886666666665404,200,3,"d=200, n_i=3"
sitar,10,FACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3068904999999996,0.05169683333333361,0.31896666666666534,0.05618333333333491,200,3,"d=200, n_i=3"
sitar,10,HGAM-GS,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.462138666666667,1.9216858333333342,17.648300000000017,17.184416666666674,200,3,"d=200, n_i=3"
sitar,10,Local-GAM,100,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.530736833333333,0.22767499999999993,0.72515,0.2817833333333321,200,3,"d=200, n_i=3"
sitar,10,Oracle-SITAR,100,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,13.337584,7.7240294999999985,14.366466666666671,8.385233333333334,200,3,"d=200, n_i=3"
sitar,10,PACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4625491666666667,0.035276833333333646,0.5939999999999979,0.03946666666666564,200,3,"d=200, n_i=3"
