case,quantity,metric,n_obs_per_cluster,n_clusters,comparison_method,comparison_estimate,adastrumm_estimate,numerator,denominator,numerator_estimate,denominator_estimate,value,oracle_estimate
3re,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,5,400,Local-GAM,1.236912711658894,0.527496903366325,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,1.236912711658894,0.527496903366325,2.3448719864804755,NA
3re,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,5,500,Local-GAM,1.233999211521532,0.5237035799327552,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,1.233999211521532,0.5237035799327552,2.3562932521484394,NA
3re,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,10,50,Local-GAM,0.5247503125877192,0.29672503931171823,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,0.5247503125877192,0.29672503931171823,1.768473310526564,NA
3re,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,10,100,Local-GAM,0.5248671950840227,0.2680325459902616,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,0.5248671950840227,0.2680325459902616,1.9582218761713088,NA
3re,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,10,200,Local-GAM,0.5256082686478967,0.25654505426509655,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,0.5256082686478967,0.25654505426509655,2.0487951722693047,NA
3re,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,10,300,Local-GAM,0.5268026923606486,0.2527306512486843,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,0.5268026923606486,0.2527306512486843,2.0844432195217992,NA
3re,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,10,400,Local-GAM,0.5235446364050929,0.25098055119823515,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,0.5235446364050929,0.25098055119823515,2.0859968388210883,NA
3re,Narrowest general-purpose CI width / AdaStruMM CI width,ci_width,10,500,Local-GAM,0.5229338488002766,0.2491351661080079,minimum CI width among non-AdaStruMM general-purpose methods,AdaStruMM CI width,0.5229338488002766,0.2491351661080079,2.0989965285493595,NA
3re,AdaStruMM CI width / oracle CI width,ci_width,2,50,Oracle,NA,3.626950018596938,AdaStruMM CI width,oracle CI width,3.626950018596938,2.725437989366122,1.3307769366788964,2.725437989366122
3re,AdaStruMM CI width / oracle CI width,ci_width,2,100,Oracle,NA,3.846813275427618,AdaStruMM CI width,oracle CI width,3.846813275427618,2.724842105845728,1.41175639761837,2.724842105845728
3re,AdaStruMM CI width / oracle CI width,ci_width,2,200,Oracle,NA,3.5403314480839816,AdaStruMM CI width,oracle CI width,3.5403314480839816,2.7345705834918896,1.2946571829070075,2.7345705834918896
