case,subcase_id,n_clusters,n_obs_per_cluster,method,n_expected,n_read,n_missing,n_oom,n_timeout,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_k_fail,n_ci_fail,prop_oom,prop_timeout,prop_unknown_missing,prop_sim_fail,prop_fit_fail,prop_pred_fail,prop_gp_fail,prop_k_fail,prop_ci_fail,mean_time_total,mean_time_fit,max_time_total,max_time_fit
3re,10,200,3,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20476666666666665,0.06713000000000001,0.31045,0.10851666666666668
3re,10,200,3,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87773,0.7455333333333334,0.9897666666666666,0.8605666666666667
3re,10,200,3,Local-GAM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24314333333333332,0.17641,0.24888333333333332,0.18148333333333339
3re,10,200,3,Oracle-GP,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06413666666666666,3.6666666666670034e-5,0.07126666666666666,6.666666666665932e-5
3re,10,200,3,PACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4286333333333333,0.07135333333333332,0.5040333333333333,0.09085000000000001
3re,10,200,3,bayesFPCA,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1041,1.0323666666666667,2.7508166666666667,2.6766
3re,11,200,5,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72622,0.07617666666666667,1.7437,0.10558333333333335
3re,11,200,5,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20131,0.06356333333333333,0.29114999999999996,0.09048333333333333
3re,11,200,5,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4177033333333333,1.2632433333333335,1.6169000000000002,1.4712
3re,11,200,5,Local-GAM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14887999999999998,0.05965666666666667,0.15253333333333333,0.06303333333333333
3re,11,200,5,Oracle-GP,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07557,5.0000000000007815e-5,0.07741666666666666,6.666666666668894e-5
3re,11,200,5,PACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65125,0.21927666666666668,0.7636,0.3094666666666666
3re,11,200,5,bayesFPCA,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4254966666666666,1.34248,2.3106166666666668,2.2305166666666665
3re,12,200,10,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7124833333333334,0.12618,1.7415666666666667,0.13970000000000002
3re,12,200,10,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18151666666666666,0.06115333333333334,0.19344999999999998,0.06475
3re,12,200,10,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5141166666666668,1.3629533333333335,1.7042500000000003,1.5560666666666667
3re,12,200,10,Local-GAM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12486666666666667,0.046473333333333325,0.12815000000000001,0.04793333333333332
3re,12,200,10,Oracle-GP,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06991000000000001,2.3333333333338167e-5,0.07296666666666668,3.333333333334447e-5
3re,12,200,10,PACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43608,1.9449733333333334,2.5197999999999996,2.0232666666666668
3re,12,200,10,bayesFPCA,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7169400000000001,1.6500666666666668,2.51155,2.440766666666667
3re,13,300,2,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46335,0.06784666666666667,2.5088333333333335,0.10133333333333333
3re,13,300,2,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40102,0.14096333333333333,0.6668333333333333,0.2334
3re,13,300,2,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.19404,2.8503033333333336,3.6364333333333336,3.3110333333333335
3re,13,300,2,Oracle-GP,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08338666666666666,2.9999999999995217e-5,0.09761666666666667,3.333333333334447e-5
3re,13,300,2,PACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65907,0.06350333333333333,0.7648166666666667,0.09630000000000001
3re,13,300,2,bayesFPCA,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.461166666666667,5.345433333333333,17.161883333333336,17.033333333333335
3re,14,300,3,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4264033333333335,0.08610333333333334,2.4542,0.0986666666666667
3re,14,300,3,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3367,0.1187,0.7841666666666666,0.26839999999999997
3re,14,300,3,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2007900000000005,4.612543333333333,5.921433333333334,5.562566666666666
3re,14,300,3,Local-GAM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6788633333333334,0.5446700000000001,1.1274166666666667,0.9374666666666668
3re,14,300,3,Oracle-GP,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07296333333333334,3.00000000000041e-5,0.11233333333333334,3.333333333334447e-5
3re,14,300,3,PACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8141533333333334,0.1713366666666667,0.8633000000000001,0.18188333333333334
3re,14,300,3,bayesFPCA,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4424533333333334,2.3445666666666667,6.0701,5.963100000000001
3re,15,300,5,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5029566666666665,0.09780666666666667,2.647,0.10834999999999996
3re,15,300,5,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30122666666666664,0.10206333333333334,0.3202333333333333,0.10994999999999999
3re,15,300,5,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.639233333333333,5.247413333333333,6.053383333333334,5.7267166666666665
3re,15,300,5,Local-GAM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20579666666666666,0.09491333333333334,0.21686666666666668,0.10296666666666665
3re,15,300,5,Oracle-GP,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07564,2.9999999999998175e-5,0.0841,3.333333333334447e-5
3re,15,300,5,PACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41124,0.4904566666666667,1.4662833333333334,0.5155166666666667
3re,15,300,5,bayesFPCA,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.056086666666667,1.9356633333333335,4.291300000000001,4.173450000000001
3re,16,300,10,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6455533333333334,0.23559000000000002,2.698666666666667,0.2685
3re,16,300,10,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32816666666666666,0.11885666666666668,0.4660333333333334,0.16338333333333335
3re,16,300,10,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42626,5.034156666666666,6.832633333333334,6.485833333333333
3re,16,300,10,Local-GAM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22863333333333336,0.10872333333333334,0.2685,0.13328333333333336
3re,16,300,10,Oracle-GP,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11065000000000001,3.333333333335039e-5,0.15505000000000002,5.000000000000189e-5
3re,16,300,10,PACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.262986666666667,4.7107600000000005,10.687966666666666,7.171566666666666
3re,16,300,10,bayesFPCA,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8892,8.794556666666667,34.058350000000004,33.98636666666667
3re,17,400,2,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5606933333333335,0.09235333333333333,3.63735,0.13406666666666664
3re,17,400,2,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46756333333333333,0.16172,0.9215833333333333,0.3156333333333334
3re,17,400,2,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.596106666666667,9.789493333333334,11.411833333333334,10.74635
3re,17,400,2,Oracle-GP,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11096333333333333,3.3333333333332623e-5,0.1123,3.333333333334447e-5
3re,17,400,2,PACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17415,0.08925,1.4824166666666665,0.08945000000000002
3re,17,400,2,bayesFPCA,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25449,2.11152,6.5400833333333335,6.369683333333334
3re,18,400,3,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.40944,0.13224666666666665,4.928733333333333,0.15025000000000002
3re,18,400,3,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4105933333333333,0.15262,0.5696166666666667,0.20290000000000002
3re,18,400,3,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.937263333333334,7.2304,10.450700000000001,9.6754
3re,18,400,3,Local-GAM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4993066666666667,0.37565333333333334,0.5049166666666667,0.3801166666666667
3re,18,400,3,Oracle-GP,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09501,3.0000000000001136e-5,0.10235000000000001,3.333333333334447e-5
3re,18,400,3,PACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5921166666666666,0.3286833333333333,1.7398,0.33085
3re,18,400,3,bayesFPCA,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9398633333333333,1.7901233333333333,6.611683333333333,6.39065
3re,19,400,5,AdaStruMM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.289146666666667,0.13970666666666667,3.409,0.1807166666666667
3re,19,400,5,FACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45283666666666667,0.16182,0.6836166666666667,0.25965
3re,19,400,5,HGAM-GS,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.321116666666667,6.56397,10.157583333333333,9.510750000000002
3re,19,400,5,Local-GAM,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2516466666666667,0.13415333333333335,0.4037833333333333,0.22391666666666668
3re,19,400,5,Oracle-GP,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12160000000000001,3.999999999999559e-5,0.1719166666666667,6.666666666665932e-5
3re,19,400,5,PACE,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15875,0.61696,2.3066833333333334,0.6262166666666665
3re,19,400,5,bayesFPCA,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8374200000000003,3.668893333333333,9.763766666666667,9.608949999999998
